product_id,category,sub_category,user,rating,comment
996,Thời Trang Nam,Áo Khoác,tranphuong1601142325,5,Áo đẹp vải ok có độ bóng nhìn có cảm giác như áo da😆 (lúc mở bao bì ngoài thấy áo có nhiều sợi chỉ màu dư không liên quan đến áo vì chỉ may áo màu xanh đen và đen). Shop có tặng 1 cái cột tóc kèm dòng tâm thư chu đáo❤️ ( hơi buồn cái là đang giãn cách anh shipper tới cái bị bame la buồn hết sức 🥲)
203,Thời Trang Nam,Quần Short,windka123,5,"Quần đẹp, nhưng hơi rộng(có thể do mình gầy) nhưng chất vải rất êm, mềm mại, khá thoáng nói chung 9/10đ"
182,Thời Trang Nam,Quần Dài/Quần Âu,n*****0,5,"Vải dày dặn, đóng gói cẩn thận, dịch vụ chăm sóc mình thấy ổn, giao hàng thì không nhanh lắm, chắc do dịch, hết dịch cải thiện được tốc độ giao hàng thì hoàn chỉnh, chúc shop buôn may bán đắt"
1170,Thời Trang Nam,Quần jeans,ngocthang3112,5,"Vải mềm và hơi co giãn, chất lượng khá tốt. Màu ko được đẹp như trên hình nhưng tạm ổn."
1421,Thời Trang Nam,Quần Short,huynhgiao760077,5,", Shop phục vụ rất tốt"
1778,Thời Trang Nam,Vớ/ Tất,congchuabongbongtt,5,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt, Rất đáng tiền, Thời gian giao hàng rất nhanh"
1317,Thời Trang Nam,Áo,meocanchuot999,5, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt
192,Thời Trang Nam,Đồ lót,vuongngoc209,5,"Bộ Y tế đề nghị:
1. Người dân đã đi đến hoặc gặp gỡ người dân sinh sống tại TP. Chí Linh, tỉnh Hải Dương từ 15/01/2021 trở lại đây.
2. Người dân đã từng đi các chuyến bay tại Cảng hàng không quốc tế Vân Đồn - Quảng Ninh từ ngày 15/01/2021 đến nay.
Khẩn trương liên hệ với cơ sở y tế gần nhất hoặc gọi"
428,Thời Trang Nam,Đồ Bộ,tnp11433,5,", Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt, Rất đáng tiền"
480,Thời Trang Nam,Đồ lót,maihuongnguyenpon,5,"Chất lượng sản phẩm phù hợp vói giá tiền, hàng y hình, thời gian giao hàng 5 ngày nhận đc"
