page_id,pro_idx,item_id,shop_id,product_name,category_name,number_rating,page_no,user_id,user_name,comment_id,created_time,user_rating,user_comment,user_tag_content
39,2371,644947583,35584914,Sách Ngữ pháp tiếng Anh - Mai Lan Hương,Language Learning & Dictionaries,425.0,9.0,235337900.0,m*****_,5375349063,1626233026.0,5.0,"shop hàng rất chất lượng, rẻ mà còn giao hàng rất nhanh, ủng hộ shop",|
22,1360,4719758066,162534564,Sách - Những tia nắng đầu tiên - Bộ 10 quyển,Comics & Manga,134.0,2.0,176075847.0,minhhuongletran,6166451746,1633236243.0,5.0,Sách rất hay và đẹp. Mình còn thích mê. Giao hàng 2 tuần vì dịch. Giá rẻ sẽ mua lần sau,2*Chất lượng sản phẩm tuyệt vời
42,2531,626724929,15374634,Sách - 200 Miếng bóc dán thông minh 2-6 tuổi - Bé học tiếng anh[Tái bản 2018],Comics & Manga,170.0,1.0,38959100.0,emianh,6112676916,1632734700.0,5.0,"Sách đẹp, nội dung mình HƯA kiểm tra. Nhưng đóng gói và giao hàng nhanh",|
13,798,3467860482,313752154,Sách - Cấp tốc 789+ Tổng ôn thi THPT Quốc Gia Môn Lí,Education & School,183.0,0.0,82896262.0,d*****3,6190022482,1633450070.0,5.0,"Sách đẹp, rất hay shop giao hàng nhanh!!!!!!!!!!!!!!!!!!!!!!!",2*Chất lượng sản phẩm tuyệt vời|5*Đóng gói sản phẩm rất đẹp và chắc chắn|6*Shop phục vụ rất tốt|3*Rất đáng tiền|4*Thời gian giao hàng rất nhanh
52,3146,7219044352,15374634,"Sách - Tủ Sách: Bài Thơ - Bài Hát - Câu Đố Dành Cho Bé (Combo 3 quyển, lẻ tùy chọn)",Comics & Manga,427.0,9.0,121061838.0,b*****h,3674488151,1608521634.0,5.0,"Để đẩy nhanh tiến độ thử nghiệm, Bộ Y tế đã cắt bỏ tất cả các thủ tục hành chính và các đơn vị liên quan phải chuẩn bị cho cả giai đoạn 2 và 3. Nếu thuận lợi, khoảng cuối năm 2021 sẽ có đủ dữ liệu để xin cấp phép lưu hành vắc xin ra thị trường.",|
50,3050,3817314026,46725128,Sách - Giáo trình kỹ thuật lập trình C căn bản và nâng cao,Science & Maths,84.0,0.0,312681588.0,t*****7,5319297406,1625810656.0,5.0,"Sách đẹp, giáo hàng rất nhanh. Đóng gói sản phẩm rất đẹp. Shop phục vụ rất tốt",|
68,4098,1913131251,73892546, Sách - Công Phá Lí Thuyết Sinh 10-11-12,Education & School,78.0,3.0,122443985.0,nhungnguyen193,4814108108,1621086933.0,5.0,"Sách bìa đẹp lắm ạ , nh shipper tốt bụng lắm.. .................",|
6,363,8277837877,374899645,Sách - Miền Đất Hứa - 20,Comics & Manga,549.0,10.0,303659423.0,linhhnhii07,6342655651,1634692961.0,5.0,truyện của ipm thì mình không biết nói gì hơn=)). ok lắm nha ❤️❤️❤️,|
67,4076,2588297683,46725128,Sách - Giáo trình Hán ngữ 2 phiên bản mới tập 1 quyển Hạ(Phiên Bản Mới - Dùng App),Language Learning & Dictionaries,144.0,5.0,80655130.0,hong_loan304,5486831604,1627223523.0,5.0,Mua hàng 2 lần của shop. Rất ổn. Đỗ đặt cho e gái nên k có ảnh.,|
97,5860,1156779617,31537422,Sách - Bộ tập viết tiếng Trung Lý Tiểu Long 30 ruột bút mực tự bay màu 3200 chữ có giải nghĩa + 123 Thông điệp + DVD,Language Learning & Dictionaries,268.0,0.0,24153768.0,mandyluc,900935852,1541696370.0,5.0,"Sản phẩm dành cho những bạn mới học tiếng Trung hoặc muốn luyện viết chữ đẹp, chữ in chìm trên giấy dày, dùng chung với bút bay màu rất tốt, có thể viết lại nhiều lần, vỏ bút cầm vừa tay nên ko cần đến đệm bút. Ngoài ra còn có quyển sách giải nghĩa đi kèm, rất dễ tra từ. Sẽ ủng hộ shop dài dài.",|
49,2993,5540070656,272432350,[Mã LIFEMC2010 giảm 10% đơn 150k] Sách - Giáo Trình Hán Ngữ 6 - Phiên Bản Mới Tập 3 Quyển Hạ - Học Kèm App Online,Language Learning & Dictionaries,137.0,2.0,333454770.0,n*****6,6293269843,1634288169.0,5.0,"Shop giao đủ số lượng sách, kèm cả hoá đơn. K có gì để chê, bọc gói cũng ổn",|
6,361,6922966149,74419831,Sách Chinh phục luyện thi vào 10 môn Ngữ Văn theo chủ đề,Education & School,364.0,3.0,315977655.0,n*****7,6327935902,1634557850.0,5.0,,2*Chất lượng sản phẩm tuyệt vời|5*Đóng gói sản phẩm rất đẹp và chắc chắn|4*Thời gian giao hàng rất nhanh
73,4400,6573675550,183943382,[Mã LT50 giảm 50k đơn 250k] Sách - Bách khoa tri thức đa tương tác (Trọn bộ 8 tập),Children's Books,61.0,4.0,30059147.0,anhnguyen12051991,4299592442,1615788522.0,5.0,"Mua của shop nhiều lần rồi. Lần nào cũng hài lòng. 2 cuốn này Ok lắm, canh dc giảm giá lại càng thích",|
99,5981,724618279,31537422,Sách - 1001 Bức Thư Viết Cho Tương Lai (song ngữ Trung Pinyin Việt) + DVD quà tặng,Language Learning & Dictionaries,123.0,2.0,52733132.0,trungphuongthaohang,658053249,1527403046.0,5.0,"Chất lượng sản phẩm tuyệt vời,Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh",|
38,2313,756493087,24232080,Atlat Địa Lí Việt Nam,Education & School,170.0,0.0,163398074.0,u*****9,6289403239,1634269759.0,5.0,"Giao hàng nhanh, đóng gói kĩ nên sách hk bị nhăn hay gãy góc 😍😍😍",2*Chất lượng sản phẩm tuyệt vời|5*Đóng gói sản phẩm rất đẹp và chắc chắn|6*Shop phục vụ rất tốt|3*Rất đáng tiền|4*Thời gian giao hàng rất nhanh
84,5093,5039813607,62069215,Sách - Tủ Sách Rèn Nhân Cách Sống Cho Trẻ - Hạnh Phúc Sẽ Không Đến Với Những Người Hay Nói Dối,Comics & Manga,74.0,4.0,6339152.0,n*****e,4869918804,1621685599.0,5.0,"Shop giao hàng rất nhanh lại còn có note cảm ơn. Đã mua vài lần, sẽ tiếp tục ủng hộ shop.",|
61,3696,5504195056,45194730,"[Mã LIFEAZ2010 giảm 10% đơn 150k] Sách - Buông bỏ quá khứ, sống đời dũng cảm","Careers, Self Help & Personal Development",93.0,0.0,164288967.0,l*****0,5720280158,1629285560.0,5.0,"đóng hàng cẩn thận , ko bị méo iiiiiiiiiiiiiiiiiiiiiiiiiii",2*Chất lượng sản phẩm tuyệt vời|5*Đóng gói sản phẩm rất đẹp và chắc chắn
53,3188,1443563307,40470612,Sách - Nhật ký quan sát Poyo Poyo tập 3,Comics & Manga,373.0,0.0,416279465.0,t*****8,6096444416,1632564628.0,5.0,Đóng gói ok giao hàng lâu hơn 2 tuần 😟. nhưng bù lại đc Shop tư vấn 👍 và truyện tranh dễ thương ❤️,|
34,2098,6953758698,15374634,Sách - Mỗi Ngày Đều Đóng Vai Một Người Lớn Điềm Tĩnh (Kèm Bookmark),"Careers, Self Help & Personal Development",610.0,3.0,453979108.0,3sbcols5x9,5918004214,1631131640.0,5.0,よによひあけそのわや）はなまたあかさ、わやわたまたあこな）らににはまかあさのつかとそみなてまねやは）ゆさたか）まなたさよまけのほやらわらやさたかなさやはなねひなさたかたかあかけそやをふたかたそやはや,|
10,648,7234678142,117535777,Sách luật cán bộ công chức luật viên chức,"Politics, Law & Social Sciences",198.0,6.0,49844416.0,gusisthabezt,5021128296,1623208821.0,5.0,Bạn nào đang học Luật hành chính có thể tham khảo mua trong lúc dịch k ra ngoài mua sách được,|
6,405,7565172539,45194730,[Mã LIFEAZ2010 giảm 10% đơn 150k] Sách - Quên Một Người Là Chuyện Của Thời Gian,Classic Literature,626.0,13.0,125480535.0,m*****9,5764191453,1629675421.0,5.0,"Sách sịn dã man , bọc kỉ , mua trúng đợt sale nên rẻ lắm luôn , chắc là đợi hết dịch mua thêm vì mình đọc hết rồiii",|
41,2510,6776530312,234418692,Sách - Luyện Thi Năng Lực N2 - Mimi Kara Oboeru N2 Từ vựng Kèm CD (Bản In Màu - Dịch Tiếng Việt ),Language Learning & Dictionaries,140.0,4.0,85894094.0,quynhnghean123,6091320038,1632525331.0,5.0,Giao hàng lâu. Sách giá ổn. Sách mới đẹp. Đóng gói cẩn thận. Shipper dễ thương,2*Chất lượng sản phẩm tuyệt vời
63,3825,9253332465,392838844,[Mã LIFESK1010 giảm 10% đơn 150k] Sách - Công Cuộc Tái Thiết Vương Quốc Của Anh Hùng Chủ Nghĩa Hiện Thực (Tập 1),Light Novels,110.0,3.0,26628272.0,vn2448_96138,5550391035,1627817116.0,5.0,Chất lượng sản phẩm tuyệt vời. Đóng gói sản phẩm rất đẹp và chắc chắn,|
0,26,4967821076,41482786,Sách - Kích Thích Thị Giác Cho Trẻ Sơ Sinh 0 - 3 Tuổi (18 quyển lẻ tùy chọn),Parenting & Family,1070.0,0.0,10946158.0,t*****4,6184968923,1633415568.0,5.0,Hình ảnh chỉ mang tính chất nhận xu- . Sách đẹp  nên mua cho bé . Kiénlenfbskwnehfkrmwhdbfkwlwndjdbdbf. Dnejejdjendjrjdndjdjdjdnrnd,|
13,790,7332862896,90428978,Sách - Đừng Lựa Chọn An Nhàn Khi Còn Trẻ,"Careers, Self Help & Personal Development",141.0,6.0,282456415.0,n*****1,6221545128,1633749287.0,5.0,Shop giao hàng đầy đủ. Đóng gói cẩn thận và sách đẹp. Chất lượng tốt,|
